fishID,fishName,fishID,experiment,prePost,half,largeMalePosition,number_transits,latency_plant,latency_right_screen,latency_left_screen,center,left screen,left side,plant,right screen,right side,latency_plant_1,latency_right_screen_1,latency_left_screen_1
fid38,audrey,fid38,mc,post,p3,right,4,0,4.241,0,0.934,0,0.7665,0,295.389,1.5515,300,4.241,300
fid38,audrey,fid38,mc,pre,p3,left,3,0,1.0025,0,0,0,0,0,296.5975,1.8035,300,1.0025,300
fid39,alexandra,fid39,mc,pre,p1,none,2.5,0,1.221,0,0,0,0,0,296.045,2.5335,300,1.221,300
fid39,alexandra,fid39,mc,pre,p2,right,19,0,1.507,267.6795,7.4575,8.139,8.8455,0,258.493,14.6705,300,1.507,267.6795
fid39,alexandra,fid39,mc,pre,p3,left,4,0,0,0.3605,0,298.5305,0.7995,0,0,0,300,300,0.3605
fid4,beyonce,fid4,mc,post,p1,none,37,58.698,84.858,25.467,17.744,46.715,56.852,22.691,109.169,48.414,58.698,84.858,25.467
fid4,beyonce,fid4,mc,pre,p1,none,127.5,7.83,1.187,11.038,24.9725,72.6235,46.3765,22.951,79.419,52.6475,7.83,1.187,11.038
fid4,beyonce,fid4,mc,post,p2,left,69,164.688,221.198,5.816,9.343,107.036,85.898,34.589,25.094,35.117,164.688,221.198,5.816
fid4,beyonce,fid4,mc,pre,p2,right,106.5,5.5235,9.5,1.0195,18.6445,77.5755,71.509,22.3735,58.596,51.3085,5.5235,9.5,1.0195
fid4,beyonce,fid4,mc,post,p3,right,16,1.052,0,22.66,1.863,258.819,21.094,18.303,0,0,1.052,300,22.66
fid4,beyonce,fid4,mc,pre,p3,left,102.5,2.924,27.3495,13.656,20.6855,60.872,63.189,38.0525,50.182,66.347,2.924,27.3495,13.656
fid5,abigail,fid5,mc,post,p1,none,37,2.233,99.13,71.536,8.54,9.608,18.421,92.657,141.692,24.274,2.233,99.13,71.536
