filename,number_transits,scorer,half,experiment,fishID,largeMalePosition,prePost,center,left screen,left side,plant,right screen,right side
mc_pre_fid19_p3_NGUYEN_largeMale_left_allison_FF.csv,84,NGUYEN,p3,mc,fid19,left,pre,44.274999999999984,40.467000000000006,69.073,79.03100000000002,18.750999999999998,45.43500000000002
mc_pre_fid19_p3_PATIL_largeMale_left_allison_FF.csv,80,PATIL,p3,mc,fid19,left,pre,29.936999999999976,36.71699999999998,76.815,90.54100000000008,18.321999999999996,47.64499999999997
mc_pre_fid19_p3_PHILLIPS_largeMale_left_allison_FF.csv,92,PHILLIPS,p3,mc,fid19,left,pre,33.15799999999999,40.308999999999976,71.30500000000009,88.15499999999992,19.293000000000006,47.667000000000016
mc_pre_fid19_p3_RAVIPATI_largeMale_left_allison_FF.csv,76,RAVIPATI,p3,mc,fid19,left,pre,27.30000000000002,40.506000000000064,70.20799999999994,92.35099999999998,24.61200000000003,42.00899999999995
mc_pre_fid2_p1_JEW_largeMale_none_daisy_LL.csv,36,JEW,p1,mc,fid2,none,pre,11.421000000000012,211.84,31.896,18.387000000000015,10.374999999999996,15.913999999999998
mc_pre_fid2_p1_KALARIA_largeMale_none_daisy_LL.csv,38,KALARIA,p1,mc,fid2,none,pre,9.876999999999967,211.506,32.828000000000046,18.42000000000003,9.347,16.808999999999976
mc_pre_fid2_p1_KARNATI_largeMale_none_daisy_LL.csv,61,KARNATI,p1,mc,fid2,none,pre,15.782999999999976,197.35800000000012,47.03199999999994,12.21000000000001,9.075999999999997,18.897000000000002
mc_pre_fid2_p1_KUE_largeMale_none_daisy_LL.csv,46,KUE,p1,mc,fid2,none,pre,15.757000000000044,208.99800000000002,33.93199999999996,13.506000000000011,9.075000000000001,18.920999999999996
mc_pre_fid2_p1_lacy_largeMale_none_daisy_LL.csv,34,lacy,p1,mc,fid2,none,pre,12.325999999999988,214.209,32.42100000000002,13.986,10.191,17.41099999999999
mc_pre_fid2_p2_JEW_largeMale_right_daisy_LL.csv,27,JEW,p2,mc,fid2,right,pre,10.202999999999975,212.54399999999995,17.755000000000024,4.439999999999998,41.84299999999996,13.315000000000055
mc_pre_fid2_p2_KALARIA_largeMale_right_daisy_LL.csv,27,KALARIA,p2,mc,fid2,right,pre,11.443000000000012,210.111,17.545999999999992,4.5379999999999825,41.63999999999996,14.150000000000034
mc_pre_fid2_p2_KARNATI_largeMale_right_daisy_LL.csv,51,KARNATI,p2,mc,fid2,right,pre,22.59800000000004,206.73599999999996,21.16600000000001,3.8389999999999986,42.97599999999997,10.742000000000019
mc_pre_fid2_p2_KUE_largeMale_right_daisy_LL.csv,29,KUE,p2,mc,fid2,right,pre,13.622000000000014,211.25300000000004,17.69399999999993,2.038000000000011,43.416999999999945,12.41300000000004
mc_pre_fid2_p2_lacy_largeMale_right_daisy_LL.csv,27,lacy,p2,mc,fid2,right,pre,10.624000000000024,210.708,21.47599999999997,3.0759999999999934,43.164000000000016,10.785999999999973
mc_pre_fid2_p3_JEW_largeMale_left_daisy_LL.csv,19,JEW,p3,mc,fid2,left,pre,6.338000000000051,152.24499999999998,20.32599999999995,0,119.35499999999999,1.9020000000000117
mc_pre_fid2_p3_KALARIA_largeMale_left_daisy_LL.csv,21,KALARIA,p3,mc,fid2,left,pre,5.613000000000042,148.96899999999994,24.256000000000043,0,115.314,4.802
mc_pre_fid2_p3_KARNATI_largeMale_left_daisy_LL.csv,43,KARNATI,p3,mc,fid2,left,pre,6.424000000000007,136.48999999999998,35.10199999999999,0,113.84899999999999,6.542000000000007
mc_pre_fid2_p3_KUE_largeMale_left_daisy_LL.csv,19,KUE,p3,mc,fid2,left,pre,5.489999999999995,152.14399999999995,20.763000000000062,0,117.707,4.175000000000001
mc_pre_fid2_p3_lacy_largeMale_left_daisy_LL.csv,17,lacy,p3,mc,fid2,left,pre,6.579999999999984,151.29899999999998,19.60000000000001,0,116.951,5.374000000000008
mc_pre_fid20_p1_NGUYEN_largeMale_none_daniela_LS.csv,58,NGUYEN,p1,mc,fid20,none,pre,29.846999999999994,20.241999999999997,27.508000000000003,36.883,151.12800000000004,33.49199999999998
mc_pre_fid20_p1_PATIL_largeMale_none_daniela_LS.csv,58,PATIL,p1,mc,fid20,none,pre,21.276000000000018,19.613,28.897999999999982,41.31800000000001,148.75900000000001,40.112999999999964
mc_pre_fid20_p1_PHILLIPS_largeMale_none_daniela_LS.csv,60,PHILLIPS,p1,mc,fid20,none,pre,24.018,20.025000000000016,27.487999999999996,42.712000000000025,150.58099999999996,34.40700000000001
mc_pre_fid20_p1_RAVIPATI_largeMale_none_daniela_LS.csv,51,RAVIPATI,p1,mc,fid20,none,pre,9.347999999999999,19.755,28.55100000000002,45.721999999999994,149.50699999999995,37.69800000000003
mc_pre_fid20_p2_NGUYEN_largeMale_right_daniela_LS.csv,47,NGUYEN,p2,mc,fid20,right,pre,10.16799999999995,25.251000000000033,6.901999999999987,6,206.04999999999998,44.58100000000004
mc_pre_fid20_p2_PATIL_largeMale_right_daniela_LS.csv,49,PATIL,p2,mc,fid20,right,pre,6.7050000000000125,24.208000000000027,9.495000000000005,8.16199999999995,203.66900000000004,47.73799999999997
mc_pre_fid20_p2_PHILLIPS_largeMale_right_daniela_LS.csv,47,PHILLIPS,p2,mc,fid20,right,pre,10.454999999999956,24.727000000000032,9.228999999999985,5.339000000000027,209.4010000000001,41.24499999999988
mc_pre_fid20_p2_RAVIPATI_largeMale_right_daniela_LS.csv,45,RAVIPATI,p2,mc,fid20,right,pre,7.618000000000023,24.992999999999995,8.932999999999964,7.703999999999951,207.30700000000007,41.79499999999997
mc_pre_fid20_p3_NGUYEN_largeMale_left_daniela_LS.csv,54,NGUYEN,p3,mc,fid20,left,pre,8.500000000000028,180.59199999999996,76.00900000000003,4.748999999999995,22.248999999999995,7.751000000000005
