experiment,fishID,half,code,prePost,largeMalePosition,fishName,treatment,totalTime,number_transits
mc,fid18,p3,left screen,pre,right,anna,LL.csv,59.78800000000002,90
mc,fid18,p3,left side,post,left,anna,LL.csv,12.681000000000012,40
mc,fid18,p3,left side,pre,right,anna,LL.csv,38.943500000000014,90
mc,fid18,p3,plant,post,left,anna,LL.csv,2.136499999999991,39.5
mc,fid18,p3,plant,pre,right,anna,LL.csv,0.5379999999999998,89
mc,fid18,p3,right screen,post,left,anna,LL.csv,241.2055,40
mc,fid18,p3,right screen,pre,right,anna,LL.csv,129.52649999999994,90
mc,fid18,p3,right side,post,left,anna,LL.csv,20.896000000000022,40
mc,fid18,p3,right side,pre,right,anna,LL.csv,46.395999999999994,90
mc,fid19,p1,center,post,none,allison,FF.csv,25.355499999999992,59
mc,fid19,p1,center,pre,none,allison,FF.csv,38.08049999999999,82.5
mc,fid19,p1,left screen,post,none,allison,FF.csv,65.55850000000001,59
mc,fid19,p1,left screen,pre,none,allison,FF.csv,37.44749999999998,82.5
mc,fid19,p1,left side,post,none,allison,FF.csv,49.30449999999999,59
mc,fid19,p1,left side,pre,none,allison,FF.csv,66.3035,82.5
mc,fid19,p1,plant,post,none,allison,FF.csv,59.12850000000003,59
mc,fid19,p1,plant,pre,none,allison,FF.csv,60.264499999999984,82.5
mc,fid19,p1,right screen,post,none,allison,FF.csv,47.951999999999984,59
mc,fid19,p1,right screen,pre,none,allison,FF.csv,29.060999999999993,82.5
mc,fid19,p1,right side,post,none,allison,FF.csv,50.58249999999999,59
mc,fid19,p1,right side,pre,none,allison,FF.csv,68.44150000000003,82.5
mc,fid19,p2,center,post,left,allison,FF.csv,24.32350000000003,60
mc,fid19,p2,center,pre,right,allison,FF.csv,27.266999999999967,100.5
mc,fid19,p2,left screen,post,left,allison,FF.csv,139.56950000000006,60
mc,fid19,p2,left screen,pre,right,allison,FF.csv,56.797000000000025,100.5
mc,fid19,p2,left side,post,left,allison,FF.csv,71.52399999999992,60
mc,fid19,p2,left side,pre,right,allison,FF.csv,59.664500000000004,100.5
mc,fid19,p2,plant,pre,right,allison,FF.csv,53.02549999999998,100.5
mc,fid19,p2,right screen,post,left,allison,FF.csv,23.522000000000006,60
mc,fid19,p2,right screen,pre,right,allison,FF.csv,53.776499999999984,100.5
mc,fid19,p2,right side,post,left,allison,FF.csv,40.707,60
mc,fid19,p2,right side,pre,right,allison,FF.csv,49.00900000000004,100.5
mc,fid19,p3,center,post,right,allison,FF.csv,41.377500000000055,45.5
mc,fid19,p3,center,pre,left,allison,FF.csv,31.500499999999985,82
mc,fid19,p3,left screen,post,right,allison,FF.csv,24.553000000000026,45.5
mc,fid19,p3,left screen,pre,left,allison,FF.csv,40.38799999999999,82
mc,fid19,p3,left side,post,right,allison,FF.csv,32.882999999999925,45.5
mc,fid19,p3,left side,pre,left,allison,FF.csv,70.75650000000002,82
mc,fid19,p3,plant,post,right,allison,FF.csv,58.707499999999996,45.5
mc,fid19,p3,plant,pre,left,allison,FF.csv,89.348,82
mc,fid19,p3,right screen,post,right,allison,FF.csv,91.04650000000001,45.5
mc,fid19,p3,right screen,pre,left,allison,FF.csv,19.022000000000002,82
mc,fid19,p3,right side,post,right,allison,FF.csv,47.06699999999991,45.5
mc,fid19,p3,right side,pre,left,allison,FF.csv,46.53999999999999,82
mc,fid2,p1,center,post,none,daisy,LL.csv,18.685000000000006,80
mc,fid2,p1,center,pre,none,daisy,LL.csv,12.325999999999988,38
mc,fid2,p1,left screen,post,none,daisy,LL.csv,29.09699999999999,80
mc,fid2,p1,left screen,pre,none,daisy,LL.csv,210.932,38
mc,fid2,p1,left side,post,none,daisy,LL.csv,32.231000000000016,80
mc,fid2,p1,left side,pre,none,daisy,LL.csv,32.828000000000046,38
mc,fid2,p1,plant,post,none,daisy,LL.csv,10.81399999999999,80
mc,fid2,p1,plant,pre,none,daisy,LL.csv,13.986,38
mc,fid2,p1,right screen,post,none,daisy,LL.csv,163.08800000000002,80
mc,fid2,p1,right screen,pre,none,daisy,LL.csv,9.347,38
mc,fid2,p1,right side,post,none,daisy,LL.csv,44.309999999999945,80
mc,fid2,p1,right side,pre,none,daisy,LL.csv,17.41099999999999,38
mc,fid2,p2,center,post,left,daisy,LL.csv,4.5390000000000015,55
mc,fid2,p2,center,pre,right,daisy,LL.csv,11.209000000000032,27
mc,fid2,p2,left screen,post,left,daisy,LL.csv,10.408000000000001,55
mc,fid2,p2,left screen,pre,right,daisy,LL.csv,210.708,27
mc,fid2,p2,left side,post,left,daisy,LL.csv,4.002999999999993,55
mc,fid2,p2,left side,pre,right,daisy,LL.csv,17.755000000000024,27
mc,fid2,p2,plant,pre,right,daisy,LL.csv,3.8389999999999986,27
mc,fid2,p2,right screen,post,left,daisy,LL.csv,236.20300000000006,55
mc,fid2,p2,right screen,pre,right,daisy,LL.csv,42.97599999999997,27
mc,fid2,p2,right side,post,left,daisy,LL.csv,43.61999999999993,55
mc,fid2,p2,right side,pre,right,daisy,LL.csv,12.41300000000004,27
mc,fid2,p3,center,post,right,daisy,LL.csv,10.410999999999973,65
mc,fid2,p3,center,pre,left,daisy,LL.csv,6.338000000000051,19
mc,fid2,p3,left screen,post,right,daisy,LL.csv,103.35499999999999,65
mc,fid2,p3,left screen,pre,left,daisy,LL.csv,151.29899999999998,19
mc,fid2,p3,left side,post,right,daisy,LL.csv,27.758000000000013,65
mc,fid2,p3,left side,pre,left,daisy,LL.csv,20.763000000000062,19
mc,fid2,p3,plant,post,right,daisy,LL.csv,6.409000000000006,65
mc,fid2,p3,right screen,post,right,daisy,LL.csv,120.3730000000001,65
mc,fid2,p3,right screen,pre,left,daisy,LL.csv,116.951,19
mc,fid2,p3,right side,post,right,daisy,LL.csv,32.03599999999989,65
