filename,number_transits,code,totalTime,experiment,fishID,fishName,treatment,half,scorer,largeMalePosition,prePost
mc_post_fid10_p2_CUI_largeMale_right_alyssa_INT.csv,7,right side,10.945000000000029,mc,fid10,alyssa,INT.csv,p2,CUI,right,post
mc_post_fid10_p3_Rotholz_largeMale_left_alyssa_INT.csv,12,right screen,291.026,mc,fid10,alyssa,INT.csv,p3,Rotholz,left,post
mc_post_fid10_p3_Rotholz_largeMale_left_alyssa_INT.csv,12,right side,8.540999999999983,mc,fid10,alyssa,INT.csv,p3,Rotholz,left,post
mc_post_fid10_p3_SANCHEZ_largeMale_left_alyssa_INT.csv,3,right screen,294.87,mc,fid10,alyssa,INT.csv,p3,SANCHEZ,left,post
mc_post_fid10_p3_SANCHEZ_largeMale_left_alyssa_INT.csv,3,right side,2.1310000000000002,mc,fid10,alyssa,INT.csv,p3,SANCHEZ,left,post
mc_post_fid10_p3_VASQUEZ_largeMale_left_alyssa_INT.csv,5,right screen,297.368,mc,fid10,alyssa,INT.csv,p3,VASQUEZ,left,post
mc_post_fid10_p3_VASQUEZ_largeMale_left_alyssa_INT.csv,5,right side,2.135000000000005,mc,fid10,alyssa,INT.csv,p3,VASQUEZ,left,post
mc_post_fid10_p3_Waindim_largeMale_left_alyssa_INT.csv,1,right screen,299.134,mc,fid10,alyssa,INT.csv,p3,Waindim,left,post
mc_post_fid11_p1_EGBULONU_largeMale_none_bernice_LS.csv,45,center,8.147000000000002,mc,fid11,bernice,LS.csv,p1,EGBULONU,none,post
mc_post_fid11_p1_EGBULONU_largeMale_none_bernice_LS.csv,45,left screen,42.97400000000002,mc,fid11,bernice,LS.csv,p1,EGBULONU,none,post
mc_post_fid11_p1_EGBULONU_largeMale_none_bernice_LS.csv,45,left side,36.83699999999999,mc,fid11,bernice,LS.csv,p1,EGBULONU,none,post
mc_post_fid11_p1_EGBULONU_largeMale_none_bernice_LS.csv,45,plant,30.661999999999995,mc,fid11,bernice,LS.csv,p1,EGBULONU,none,post
mc_post_fid11_p1_EGBULONU_largeMale_none_bernice_LS.csv,45,right screen,149.57100000000003,mc,fid11,bernice,LS.csv,p1,EGBULONU,none,post
mc_post_fid11_p1_EGBULONU_largeMale_none_bernice_LS.csv,45,right side,28.82599999999997,mc,fid11,bernice,LS.csv,p1,EGBULONU,none,post
mc_post_fid11_p1_ESTRELLADO_largeMale_none_bernice_LS.csv,71,center,17.99800000000002,mc,fid11,bernice,LS.csv,p1,ESTRELLADO,none,post
mc_post_fid11_p1_ESTRELLADO_largeMale_none_bernice_LS.csv,71,left screen,41.64199999999999,mc,fid11,bernice,LS.csv,p1,ESTRELLADO,none,post
mc_post_fid11_p1_ESTRELLADO_largeMale_none_bernice_LS.csv,71,left side,32.83,mc,fid11,bernice,LS.csv,p1,ESTRELLADO,none,post
mc_post_fid11_p1_ESTRELLADO_largeMale_none_bernice_LS.csv,71,plant,25.96899999999998,mc,fid11,bernice,LS.csv,p1,ESTRELLADO,none,post
mc_post_fid11_p1_ESTRELLADO_largeMale_none_bernice_LS.csv,71,right screen,93.83000000000003,mc,fid11,bernice,LS.csv,p1,ESTRELLADO,none,post
mc_post_fid11_p1_ESTRELLADO_largeMale_none_bernice_LS.csv,71,right side,37.74499999999999,mc,fid11,bernice,LS.csv,p1,ESTRELLADO,none,post
mc_post_fid11_p1_FERNANDES_largeMale_none_bernice_LS.csv,74,center,9.109000000000002,mc,fid11,bernice,LS.csv,p1,FERNANDES,none,post
mc_post_fid11_p1_FERNANDES_largeMale_none_bernice_LS.csv,74,left screen,41.246000000000016,mc,fid11,bernice,LS.csv,p1,FERNANDES,none,post
mc_post_fid11_p1_FERNANDES_largeMale_none_bernice_LS.csv,74,left side,35.062999999999995,mc,fid11,bernice,LS.csv,p1,FERNANDES,none,post
mc_post_fid11_p1_FERNANDES_largeMale_none_bernice_LS.csv,74,plant,33.96599999999997,mc,fid11,bernice,LS.csv,p1,FERNANDES,none,post
mc_post_fid11_p1_FERNANDES_largeMale_none_bernice_LS.csv,74,right screen,138.594,mc,fid11,bernice,LS.csv,p1,FERNANDES,none,post
mc_post_fid11_p1_FERNANDES_largeMale_none_bernice_LS.csv,74,right side,41.374000000000024,mc,fid11,bernice,LS.csv,p1,FERNANDES,none,post
